ID,RF,UC,Canal,Prioridad,Nivel,Escenario 11A,Precondiciones,Pasos,Datos de prueba (sintéticos),Resultado esperado (oráculo),Fuente propietaria,Estado,Evidencia
TEST-AUTH-005,—,—,Transversal,P0,E2E HTTP,B2 sin A3 no produce acceso,Profesional con B2 vigente sobre el asesorado; el asesorado revoca su A3 durante la prueba.,"1. Verificar las precondiciones. 2. Profesional con B2 vigente accede a un asesorado cuyo A3 fue revocado. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Par profesional/asesorado demo con B2 vigente sobre nutrición; A3 del asesorado revocado durante la prueba. Todo generado por seed; ningún dato personal real.,Sin acceso: el B2 queda sin capacidad efectiva mientras A3 no satisfaga el PDP,08 §56 — escenario 11A: «B2 sin A3 no produce acceso»,NOT_EXECUTED,— (11B)
TEST-AUTH-006,—,—,Transversal,P0,E2E HTTP,vínculo sin B2 no produce acceso,"Vínculo en estado ACEPTADO para el alcance, sin consentimiento B2 otorgado.","1. Verificar las precondiciones. 2. Vínculo aceptado sin consentimiento B2 otorgado para ese alcance. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.","Vínculo demo en ACEPTADO para alcance nutrición, sin registro de consentimiento B2. Todo generado por seed; ningún dato personal real.",Sin acceso al dominio: el vínculo no concede lo que corresponde al consentimiento,06 §7.5-01 · INV-06-01 — escenario 11A: «vínculo sin B2 no produce acceso»,NOT_EXECUTED,— (11B)
TEST-AUTH-007,—,—,Transversal,P0,E2E HTTP,PAUSADO corta acceso profesional,Vínculo ACEPTADO con B2 vigente; se pausa el alcance durante la prueba.,"1. Verificar las precondiciones. 2. Pausar un alcance del vínculo y reintentar una operación de ese alcance. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Vínculo demo con B2 vigente; alcance entrenamiento pausado durante la prueba. Todo generado por seed; ningún dato personal real.,Operación incompatible cortada; el vínculo y su historia se conservan,06 §7.5 · UC-P06 — escenario 11A: «PAUSADO corta acceso profesional»,NOT_EXECUTED,— (11B)
TEST-AUTH-008,—,—,Transversal,P0,E2E HTTP,FINALIZADO no deja lectura residual,Vínculo con historia de operaciones; se finaliza durante la prueba.,"1. Verificar las precondiciones. 2. Finalizar el vínculo y reintentar lectura del profesional. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Vínculo demo con dos operaciones registradas antes de finalizarlo. Todo generado por seed; ningún dato personal real.,Sin lectura residual: el acceso cesa; la evidencia histórica del titular permanece,7.5-05 · UC-P06 — escenario 11A: «FINALIZADO no deja lectura residual»,NOT_EXECUTED,— (11B)
TEST-AUTH-009,—,—,Transversal,P0,E2E HTTP,actorCapabilities/context no reemplaza PDP,Profesional autenticado; payload con campo de contexto de actor añadido manualmente.,"1. Verificar las precondiciones. 2. Enviar actorCapabilities o contexto de actor en el payload del cliente. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.","Payload JSON de una operación protegida con `actorCapabilities:[""PRO""]` agregado a mano. Todo generado por seed; ningún dato personal real.","El campo no reemplaza al PDP: la autorización se evalúa igual, y el contexto se rechaza o se ignora según lo que el schema de la operación defina",09 §20.2.2 contexto server-owned — escenario 11A: «actorCapabilities/context no reemplaza PDP»,NOT_EXECUTED,— (11B)
TEST-AUTH-010,—,—,Transversal,P0,E2E HTTP,break-glass no da actoría profesional,Cuenta administrativa con break-glass habilitado según 08 §28; asesorado demo con dominio nutricional.,"1. Verificar las precondiciones. 2. Ejecutar una operación bajo break-glass administrativo sobre un dominio profesional. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Cuenta administrativa demo con break-glass habilitado; asesorado demo con dominio nutricional activo. Todo generado por seed; ningún dato personal real.,El break-glass no otorga actoría profesional: la operación de dominio sigue denegada,08 §28 · §56.6.1 — escenario 11A: «break-glass no da actoría profesional»,NOT_EXECUTED,— (11B)
TEST-AUTH-011,—,—,Transversal,P0,E2E HTTP,cierre efectivo no permite nueva sesión,Cuenta con cierre solicitado y efectivo; credenciales conocidas.,"1. Verificar las precondiciones. 2. Tras cierre efectivo de cuenta, intentar iniciar una sesión nueva. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Cuenta `cerrada.demo@be.test` con cierre efectivo; sus credenciales conocidas. Todo generado por seed; ningún dato personal real.,Rechazado: el cierre efectivo impide nuevas sesiones,ACC-P1-03 · 06 §5.8 — escenario 11A: «cierre efectivo no permite nueva sesión»,NOT_EXECUTED,— (11B)
TEST-AUTH-012,—,—,Transversal,P0,E2E HTTP,cierre efectivo invalida sesiones actuales,Cuenta con sesión activa iniciada antes de solicitar el cierre.,"1. Verificar las precondiciones. 2. Tras cierre efectivo, usar una sesión que estaba activa antes del cierre. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Token de sesión emitido antes de solicitar el cierre de `cerrada.demo@be.test`. Todo generado por seed; ningún dato personal real.,Invalidada: el cierre invalida las sesiones actuales,ACC-P1-03 · 06 §5.8 — escenario 11A: «cierre efectivo invalida sesiones actuales»,NOT_EXECUTED,— (11B)
TEST-AUTH-013,—,—,Transversal,P0,E2E HTTP,"cierre finaliza vínculos por eventos, no delete silencioso",Cuenta con al menos dos vínculos activos antes del cierre.,"1. Verificar las precondiciones. 2. Tras cierre efectivo, consultar los vínculos del titular. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Cuenta con dos vínculos demo activos (nutrición y entrenamiento) antes del cierre. Todo generado por seed; ningún dato personal real.,Los vínculos se finalizan por eventos trazables; no hay borrado silencioso,"06 §5.8 · REG-06-24 — escenario 11A: «cierre finaliza vínculos por eventos, no delete silencioso»",NOT_EXECUTED,— (11B)
TEST-DOM-001,—,—,Transversal,P0,Integración,SIN_DATO ≠ 0,Serie longitudinal sintética con un período intermedio sin medición.,"1. Verificar las precondiciones. 2. Consultar una serie longitudinal con un período sin dato. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.","Serie de tres puntos: mediciones en t0 y t2, sin medición en t1. Todo generado por seed; ningún dato personal real.",El hueco se expone como SIN_DATO; nunca como cero,INV-06-176 — escenario 11A: «SIN_DATO ≠ 0»,NOT_EXECUTED,— (11B)
TEST-DOM-002,—,—,Transversal,P0,Integración,corrección no sobrescribe original,Registro emitido con valor conocido; actor autorizado para corregir.,"1. Verificar las precondiciones. 2. Registrar una corrección sobre un dato ya emitido. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.","Registro emitido con valor 72,5 kg; corrección propuesta a 71,8 kg. Todo generado por seed; ningún dato personal real.",El original permanece accesible; la corrección es aditiva y referencia la raíz,REG-06-16 · T-06-22 — escenario 11A: «corrección no sobrescribe original»,NOT_EXECUTED,— (11B)
TEST-DOM-003,—,—,Transversal,P0,Integración,anulación no elimina original,Medición VIGENTE con valor y autoría conocidos.,"1. Verificar las precondiciones. 2. Anular un registro y consultar el original. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.","Medición VIGENTE de perímetro, 92 cm, con autoría y momento conocidos. Todo generado por seed; ningún dato personal real.","El original no se elimina: conserva valor, autoría y momento, con condición ANULADA",RF-050 · REG-06-16.4 — escenario 11A: «anulación no elimina original»,NOT_EXECUTED,— (11B)
TEST-DOM-004,—,—,Transversal,P0,Integración,EN_PREPARACION ≠ REGISTRADA,Evaluación en EN_PREPARACION posterior a una REGISTRADA del mismo asesorado.,"1. Verificar las precondiciones. 2. Consultar la última evaluación registrada existiendo un borrador posterior. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Evaluación REGISTRADA del 01-03 y borrador EN_PREPARACION del 15-03 del mismo asesorado. Todo generado por seed; ningún dato personal real.,El borrador no aparece: EN_PREPARACION no equivale a REGISTRADA,REG-06-215 · T-06-78 — escenario 11A: «EN_PREPARACION ≠ REGISTRADA»,NOT_EXECUTED,— (11B)
TEST-DOM-005,—,—,Transversal,P0,Integración,nueva CalculationRun no sobrescribe corrida,Cálculo ya ejecutado sobre inputs conocidos; método con versión VIGENTE.,"1. Verificar las precondiciones. 2. Ejecutar un cálculo nuevo sobre los mismos inputs. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Método `MET-DEMO` v1 y dos corridas sobre los mismos tres inputs. Todo generado por seed; ningún dato personal real.,Se crea una corrida nueva; la anterior permanece sin sobrescribirse,REG-06-205 — escenario 11A: «nueva CalculationRun no sobrescribe corrida»,NOT_EXECUTED,— (11B)
TEST-DOM-006,—,—,Transversal,P0,Integración,referencia profesional no muta corrida,"Corrida de cálculo existente, no adoptada aún como referencia.","1. Verificar las precondiciones. 2. Adoptar una corrida como referencia profesional. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.","Corrida existente de `MET-DEMO` v1 con resultado conocido, no adoptada aún. Todo generado por seed; ningún dato personal real.",La corrida no se modifica ni se borra: la referencia es una relación,REG-06-207 — escenario 11A: «referencia profesional no muta corrida»,NOT_EXECUTED,— (11B)
TEST-DOM-007,—,—,Transversal,P0,Integración,PRIMARY/SECONDARY no pondera,Ejercicio con una zona PRINCIPAL y una SECUNDARIA declaradas.,"1. Verificar las precondiciones. 2. Consultar el volumen por zona muscular con roles PRINCIPAL y SECUNDARIO. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Ejercicio `EJ-DEMO` con zona PRINCIPAL = pectoral y SECUNDARIA = tríceps. Todo generado por seed; ningún dato personal real.,Los roles se muestran diferenciados y no se ponderan entre sí,T-06-70 · DEC-047 — escenario 11A: «PRIMARY/SECONDARY no pondera»,NOT_EXECUTED,— (11B)
TEST-DOM-008,—,—,Transversal,P0,Integración,occurredAt ≠ recordedAt,Hecho con fecha de ocurrencia anterior al momento de registro.,"1. Verificar las precondiciones. 2. Registrar un hecho cuya ocurrencia es anterior al registro. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Ingesta con ocurrencia 10-03 13:00 y registro 11-03 09:00. Todo generado por seed; ningún dato personal real.,Ambos momentos se conservan por separado; ninguno sustituye al otro,T-06-24 — escenario 11A: «occurredAt ≠ recordedAt»,NOT_EXECUTED,— (11B)
TEST-DOM-009,—,—,Transversal,P0,Integración,nueva versión no reescribe historia,Plan con versión ACTIVADA y contenido conocido.,"1. Verificar las precondiciones. 2. Emitir una versión sucesora de un plan activado. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Plan nutricional con versión v1 ACTIVADA y contenido conocido; v2 a emitir. Todo generado por seed; ningún dato personal real.,"La historia previa permanece íntegra: la nueva versión sucede, no reescribe",INV-06-04 · §4.5.1 — escenario 11A: «nueva versión no reescribe historia»,NOT_EXECUTED,— (11B)
TEST-CAL-001,—,—,Transversal,P1,Integración,versión exacta de método,"Método con dos versiones: una usada en la corrida, otra vigente al consultar.","1. Verificar las precondiciones. 2. Ejecutar un método y consultar qué versión quedó registrada en la corrida. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Método `MET-DEMO` con v1 (usada en la corrida) y v2 (vigente al consultar). Todo generado por seed; ningún dato personal real.,"La corrida conserva la versión exacta del método utilizada, no la vigente al consultar",REG-06-205 — escenario 11A: «versión exacta de método»,NOT_EXECUTED,— (11B)
TEST-CAL-002,—,—,Transversal,P1,Integración,disponible ≠ admisible,Input existente cuya procedencia no figura entre las admisibles del método.,"1. Verificar las precondiciones. 2. Ejecutar un método con un input existente pero de procedencia no admisible. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.","Input de peso con procedencia SELF_REPORTED, siendo el método admisible solo para medición directa. Todo generado por seed; ningún dato personal real.",Rechazado: disponibilidad no equivale a admisibilidad,REG-06-204 — escenario 11A: «disponible ≠ admisible»,NOT_EXECUTED,— (11B)
TEST-CAL-003,—,—,Transversal,P1,Integración,sourceRef oculto no funciona como oráculo,Identificador de un recurso real perteneciente a otro asesorado.,"1. Verificar las precondiciones. 2. Usar un sourceRef de un recurso no revelable para el actor. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Identificador de una medición real perteneciente a otro asesorado del seed. Todo generado por seed; ningún dato personal real.,404 idéntico al de un identificador inexistente: el campo no funciona como oráculo de existencia,09 §20.2.1 · CAL-01 — escenario 11A: «sourceRef oculto no funciona como oráculo»,NOT_EXECUTED,— (11B)
TEST-CAL-004,—,—,Transversal,P1,Integración,múltiples runs coexisten,Método vigente; dos conjuntos de inputs distintos y válidos.,"1. Verificar las precondiciones. 2. Ejecutar el mismo método dos veces con distintos inputs. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.","Método `MET-DEMO` v1; conjunto A y conjunto B de inputs, ambos válidos. Todo generado por seed; ningún dato personal real.",Ambas corridas coexisten y son consultables por separado,REG-06-205 — escenario 11A: «múltiples runs coexisten»,NOT_EXECUTED,— (11B)
TEST-FRM-001,—,—,Transversal,P1,E2E HTTP,template ≠ permiso,"DEMO-PN con sesión y refuerzo exigido por API-FRM-03, vínculo ACTIVO con DEMO-A01 y B2 para NUTRITION_EVALUATION en NUTRITION. FT-DEMO v1 seleccionable; FIELD_N autorizado y FIELD_X fuera de autorización. Fixture definido en FICHA_FIXTURES.md.","1. Capturar número de solicitudes de A01. 2. Enviar A a POST /api/v1/advisees/{adviseeId}/form-requests. 3. Afirmar HTTP 422 y FORM_REQUEST_NOT_ALLOWED, sin solicitud creada ni campos ocultos revelados. 4. Verificar conteo sin cambios: no aceptar un 201 con FIELD_X eliminado. 5. Enviar B con clave distinta y todos los gates válidos. 6. Afirmar 201 y solicitud que contiene únicamente FIELD_N. B es otro request preparado previamente por el cliente, no una corrección automática de A.","Request A: templateVersionId=FT-DEMO-v1, purpose=NUTRITION_EVALUATION, scope=NUTRITION, requestedFieldCodes=[FIELD_N,FIELD_X], requiredFieldCodes=[FIELD_N]; Idempotency-Key A. Request B independiente: requestedFieldCodes=[FIELD_N], requiredFieldCodes=[FIELD_N]; Idempotency-Key B. Alias remapeados por seed futuro a códigos/IDs admitidos, sin cambiar la partición autorizado/no autorizado.","La plantilla no concede permiso. A se rechaza íntegramente con HTTP 422 / FORM_REQUEST_NOT_ALLOWED y no crea una solicitud parcial ni revela campos ocultos. B, que solicita solo campos autorizados y satisface las demás precondiciones, crea la solicitud con HTTP 201. Selección previa del cliente y validación del servidor son actos distintos.",BE-LEG-11A: escenario TEST-FRM-001; BE-LEG-09 v0.16.1 §22.3 / API-FRM-03; BE-LEG-08: autorización contextual.,NOT_EXECUTED,— (11B)
TEST-FRM-002,—,—,Transversal,P1,E2E HTTP,request valida B2/propósito/pertinencia,"Profesional sin B2 vigente, o con B2 sin finalidad declarada para ese uso.","1. Verificar las precondiciones. 2. Crear una solicitud sin B2, sin finalidad o sin pertinencia declarada. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Profesional demo sin B2 vigente sobre el asesorado; misma plantilla de cinco campos. Todo generado por seed; ningún dato personal real.,Rechazada: la creación valida las tres condiciones,08 §56.4 · REG-06-211 — escenario 11A: «request valida B2/propósito/pertinencia»,NOT_EXECUTED,— (11B)
TEST-FRM-003,—,—,Transversal,P1,E2E HTTP,respuesta SELF_REPORTED,Solicitud respondida por el asesorado.,"1. Verificar las precondiciones. 2. Consultar la procedencia de una respuesta del asesorado. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Solicitud respondida por el asesorado con tres campos completados. Todo generado por seed; ningún dato personal real.,Figura como SELF_REPORTED: no es medición profesional ni diagnóstico,REG-06-212 — escenario 11A: «respuesta SELF_REPORTED»,NOT_EXECUTED,— (11B)
TEST-FRM-004,—,—,Transversal,P1,E2E HTTP,reutilización de perfil conserva procedencia,Dato presente en el perfil propio del asesorado y solicitado además por formulario.,"1. Verificar las precondiciones. 2. Reutilizar un dato de perfil propio dentro de una respuesta. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Dato de altura presente en el perfil propio y solicitado además por formulario. Todo generado por seed; ningún dato personal real.,La procedencia de cada origen se conserva: no se fusionan ni se duplican indistinguibles,REG-06-212 · UC-P25 — escenario 11A: «reutilización de perfil conserva procedencia»,NOT_EXECUTED,— (11B)
TEST-ANT-001,—,—,Transversal,P1,Integración,directo ≠ derivado,Evaluación con al menos una medición directa y un cálculo derivado de ella.,"1. Verificar las precondiciones. 2. Consultar una evaluación con mediciones directas y cálculos derivados. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Evaluación con perímetro de cintura medido y porcentaje de grasa derivado de él. Todo generado por seed; ningún dato personal real.,"Se distinguen: el derivado declara método, versión e inputs; el directo, protocolo y unidad",T-06-33 · T-06-34 — escenario 11A: «directo ≠ derivado»,NOT_EXECUTED,— (11B)
TEST-ANT-002,—,—,Transversal,P1,Integración,draft no aparece como registrada,"Evaluación REGISTRADA y, con fecha posterior, otra EN_PREPARACION.","1. Verificar las precondiciones. 2. Consultar la última evaluación registrada existiendo un borrador. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Evaluación REGISTRADA del 01-03 y borrador del 15-03. Todo generado por seed; ningún dato personal real.,El borrador no aparece como registrada ni alimenta la evolución confirmada,REG-06-215 — escenario 11A: «draft no aparece como registrada»,NOT_EXECUTED,— (11B)
TEST-ANT-003,—,—,Transversal,P1,Integración,register de draft es atómico,Evaluación en borrador con mediciones completas y autorización vigente.,"1. Verificar las precondiciones. 2. Registrar una evaluación que estaba en borrador. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Borrador con tres mediciones completas y autorización vigente del profesional. Todo generado por seed; ningún dato personal real.,"La transición a REGISTRADA es atómica: o queda registrada completa, o no cambia de estado",06 §13 · 09 §23.6 API-ANT-11 (registrar/finalizar borrador) — escenario 11A: «register de draft es atómico»,NOT_EXECUTED,— (11B)
TEST-ANT-004,—,—,Transversal,P1,Integración,correction preserva original,Medición registrada con valor conocido; actor con UC-I12 disponible.,"1. Verificar las precondiciones. 2. Corregir una medición de una evaluación registrada. 3. Observar la respuesta del sistema (código, cuerpo y estado resultante). 4. Contrastar con el resultado esperado. 5. Registrar evidencia en 11B.",Medición registrada de 92 cm; corrección a 91 cm con motivo. Todo generado por seed; ningún dato personal real.,El valor original permanece; la corrección es aditiva y trazable,UC-I12 · T-06-22 — escenario 11A: «correction preserva original»,NOT_EXECUTED,— (11B)
