T-06,concepto_canonico,nombre_corto_figura,regimen,areas_M,bloque_06,seccion_maestra_06,familias_API_09,UC_05_que_lo_usan,n_UC,RF_04,n_RF,nombre_DV-04,nombre_DV-06,nombre_DV-07,componente_DV-09,estado
T-06-65,Evidencia visual de ingesta,Evidencia visual de,PROPIETARIO-06,M-07,B-07,10,NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Evidencia visual de ingesta,EvidenciaVisualDeIngesta,,ASIGNADO
T-06-66,Atlas de referencia de porciones,Atlas de referencia,PROPIETARIO-06,M-07,B-07,10,NUT,UC-I05 UC-I06 UC-P09 UC-P10 UC-P11 UC-P12 UC-P13,7,RF-026 RF-027 RF-028 RF-029 RF-030 RF-031 RF-032 RF-033 RF-034 RF-035 RF-046 RF-055 RF-056 RF-058 RF-059 RF-060 RF-066 RF-070,18,UC-I05,Atlas de referencia de porciones,AtlasDeReferenciaDePorciones,,ASIGNADO
T-06-57,Microciclo,Microciclo,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Microciclo,Microciclo,,ASIGNADO
T-06-58,Propósito de bloque o microciclo,Propósito de bloque,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Propósito de bloque o microciclo,PropósitoDeBloqueOMicrociclo,,ASIGNADO
T-06-59,Criterio de intensidad,Criterio de intensidad,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Criterio de intensidad,CriterioDeIntensidad,,ASIGNADO
T-06-60,Sustitución de ejercicio,Sustitución de,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Sustitución de ejercicio,SustituciónDeEjercicio,,ASIGNADO
T-06-61,Condición de sesión,Condición de sesión,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Condición de sesión,CondiciónDeSesión,,ASIGNADO
T-06-62,Granularidad de registro de entrenamiento,Granularidad de,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Granularidad de registro de entrenamiento,GranularidadDeRegistroDeEntrenamiento,,ASIGNADO
T-06-63,Esfuerzo percibido,Esfuerzo percibido,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Esfuerzo percibido,EsfuerzoPercibido,,ASIGNADO
T-06-67,Zona muscular,Zona muscular,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Zona muscular,ZonaMuscular,,ASIGNADO
T-06-68,Vista anatómica de Zona,Vista anatómica de,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Vista anatómica de Zona,VistaAnatómicaDeZona,,ASIGNADO
T-06-69,Relación Ejercicio–Zona muscular,Relación,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Relación Ejercicio–Zona muscular,RelaciónEjercicio–ZonaMuscular,,ASIGNADO
T-06-70,Rol de implicación muscular,Rol de implicación,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Rol de implicación muscular,RolDeImplicaciónMuscular,,ASIGNADO
T-06-71,Serie ejecutada estructurada,Serie ejecutada,PROPIETARIO-06,M-08,B-08,11,TRN/INT-TRN,UC-E02 UC-P14 UC-P15 UC-P16 UC-P17 UC-P18,6,RF-036 RF-037 RF-038 RF-039 RF-040 RF-041 RF-042 RF-043 RF-044 RF-045 RF-046 RF-056 RF-058 RF-059 RF-060 RF-064 RF-066 RF-070,18,UC-E02,Serie ejecutada estructurada,SerieEjecutadaEstructurada,,ASIGNADO
T-06-72,Método profesional versionado,Método profesional,PROPIETARIO-06,M-11,B-11,14,MTH,UC-E07 UC-P23 UC-P24 UC-P31,4,RF-052 RF-053 RF-054 RF-055 RF-057 RF-065,6,UC-E07,Método profesional versionado,MétodoProfesionalVersionado,,ASIGNADO
T-06-73,Ejecución de cálculo reproducible,Ejecución de,PROPIETARIO-06,M-11,B-11,14,CAL,UC-E07 UC-P23 UC-P24 UC-P31,4,RF-052 RF-053 RF-054 RF-055 RF-057 RF-065,6,UC-E07,Ejecución de cálculo reproducible,EjecuciónDeCálculoReproducible,,ASIGNADO
T-06-74,Referencia profesional adoptada,Referencia,PROPIETARIO-06,M-11,B-11,14,CAL,UC-E07 UC-P23 UC-P24 UC-P31,4,RF-052 RF-053 RF-054 RF-055 RF-057 RF-065,6,UC-E07,Referencia profesional adoptada,ReferenciaProfesionalAdoptada,,ASIGNADO
T-06-75,Plantilla BE versionada de solicitud,Plantilla BE,PROPIETARIO-06,M-03,B-03,7,FRM,UC-E08 UC-I02 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-057 RF-061 RF-062 RF-065 RF-066 RF-068 RF-071,18,UC-E08,Plantilla BE versionada de solicitud,PlantillaBEVersionadaDeSolicitud,,ASIGNADO
T-06-76,Solicitud estructurada de información,Solicitud,PROPIETARIO-06,M-03,B-03,7,FRM,UC-E08 UC-I02 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-057 RF-061 RF-062 RF-065 RF-066 RF-068 RF-071,18,UC-E08,Solicitud estructurada de información,SolicitudEstructuradaDeInformación,,ASIGNADO
T-06-77,Respuesta estructurada autoinformada,Respuesta,PROPIETARIO-06,M-03,B-03,7,FRM,UC-E08 UC-I02 UC-P04 UC-P05 UC-P06 UC-P07 UC-P08 UC-P28 UC-P29 UC-P30 UC-P32 UC-P33,12,RF-015 RF-018 RF-019 RF-020 RF-021 RF-022 RF-023 RF-024 RF-051 RF-052 RF-053 RF-057 RF-061 RF-062 RF-065 RF-066 RF-068 RF-071,18,UC-E08,Respuesta estructurada autoinformada,RespuestaEstructuradaAutoinformada,,ASIGNADO
T-06-78,Evaluación antropométrica en preparación,Evaluación,PROPIETARIO-06,M-09,B-10,13,ANT,UC-E03 UC-E04 UC-I09 UC-I12 UC-P19 UC-P20 UC-P21 UC-P22,8,RF-044 RF-047 RF-048 RF-049 RF-050 RF-051 RF-059 RF-066 RF-070,9,UC-E03,Evaluación antropométrica en preparación,EvaluaciónAntropométricaEnPreparación,,ASIGNADO
T-06-79,Anulación antropométrica,Anulación,PROPIETARIO-06,M-09/M-06,B-10,13,ANT,UC-E03 UC-E04 UC-I01 UC-I03 UC-I04 UC-I07 UC-I08 UC-I09 UC-I10 UC-I11 UC-I12 UC-I13 UC-P19 UC-P20,17,RF-007 RF-009 RF-025 RF-028 RF-031 RF-038 RF-041 RF-044 RF-047 RF-048 RF-049 RF-050 RF-051 RF-054 RF-057 RF-059 RF-060 RF-066 RF-067 RF-070 RF-071,21,UC-E03,Anulación antropométrica,AnulaciónAntropométrica,,ASIGNADO
